date,min,max,median,q1,q3,stdev,count
2021-07-19T00:00:00.000Z,0,14,3,2,7,3.339,247
2021-07-20T00:00:00.000Z,0,14,4,3,7,2.307,272
2021-07-21T00:00:00.000Z,1,9,5,4,6,1.688,302
2021-07-22T00:00:00.000Z,4,18,8,7.5,10,2.294,249
2021-07-23T00:00:00.000Z,6,43,11,9,15,4.65,296
2021-07-24T00:00:00.000Z,5,30,12,10,15,3.524,294
2021-07-25T00:00:00.000Z,1,12,5,4,7,2.058,327
2021-07-26T00:00:00.000Z,6,54,28,11,34,12.607,330
2021-07-27T00:00:00.000Z,5,45,29,21.5,34,9.555,345
2021-07-28T00:00:00.000Z,5,40,15.5,10,22,7.984,356
2021-07-29T00:00:00.000Z,0,23,6,4,11,5.063,308
2021-07-30T00:00:00.000Z,3,16,7,5,9,2.432,246
2021-07-31T00:00:00.000Z,3,28,10,7,12,4.07,268
2021-08-01T00:00:00.000Z,0,9,2,2,4,1.475,266
2021-08-02T00:00:00.000Z,0,8,2,1,3,1.461,251
2021-08-03T00:00:00.000Z,0,6,3,2,4,1.208,266
2021-08-04T00:00:00.000Z,1,12,4,3,5,1.857,223
2021-08-05T00:00:00.000Z,1,21,5,3,6,2.169,263
2021-08-06T00:00:00.000Z,1,23,5,4,6,2.419,322
2021-08-07T00:00:00.000Z,3,26,6,5,8,2.777,324
2021-08-08T00:00:00.000Z,1,19,7,5,9,2.837,291
2021-08-09T00:00:00.000Z,2,18,7,5,11,3.442,233
2021-08-10T00:00:00.000Z,3,17,8,6,11,3.062,311
2021-08-11T00:00:00.000Z,1,20,6,4,11,3.83,240
2021-08-12T00:00:00.000Z,2,20,9,6,10,2.724,306
2021-08-13T00:00:00.000Z,3,30,12,9,17,5.739,537
2021-08-14T00:00:00.000Z,2,16,8,6,9,2.081,444
2021-08-15T00:00:00.000Z,0,14,5,4,7,2.142,468
2021-08-16T00:00:00.000Z,0,40,3,2,4,4.168,524
2021-08-17T00:00:00.000Z,0,15,2,1,3,2.554,555
2021-08-18T00:00:00.000Z,0,16,5,3,8,3.214,461
2021-08-19T00:00:00.000Z,0,98,3,2,4,4.895,551
2021-08-20T00:00:00.000Z,0,83,3,2,4,4.14,521
2021-08-21T00:00:00.000Z,0,20,3,2,4,2.067,559
2021-08-22T00:00:00.000Z,0,90,3,1,4,4.246,535
2021-08-23T00:00:00.000Z,0,13,3,2,3,1.314,555
2021-08-24T00:00:00.000Z,0,14,3,2,4,1.681,544
2021-08-25T00:00:00.000Z,0,119,5,3,8,6.109,531
2021-08-26T00:00:00.000Z,0,15,0,0,1,1.427,393
2021-08-27T00:00:00.000Z,0,29,4,2,6,5.45,430
2021-08-28T00:00:00.000Z,0,6,1,0,1,1.213,370
2021-08-29T00:00:00.000Z,3,35,23,19,25,7.453,407
2021-08-30T00:00:00.000Z,7,52,15,12,18,4.006,532
2021-08-31T00:00:00.000Z,3,19,10,7,13,3.435,551
2021-09-01T00:00:00.000Z,2,32,9,7,10,3.212,531
2021-09-02T00:00:00.000Z,0,76,6,3,10,9.521,531
2021-09-03T00:00:00.000Z,5,39,11,9,18,7.084,553
2021-09-04T00:00:00.000Z,0,27,2,1,5,3.713,554
2021-09-05T00:00:00.000Z,0,152,1,1,2,9.237,480
2021-09-06T00:00:00.000Z,0,26,6,2,9,4.059,475
2021-09-07T00:00:00.000Z,5,34,12,9,15,4.921,464
2021-09-08T00:00:00.000Z,11,38,24,21,28,5.274,584
2021-09-09T00:00:00.000Z,12,82,32,21,38,13.278,511
2021-09-10T00:00:00.000Z,16,69,34,26.5,41,11.686,581
2021-09-11T00:00:00.000Z,6,124,38,24,62,30.302,583
2021-09-12T00:00:00.000Z,0,56,5,3,32,17.472,579
2021-09-13T00:00:00.000Z,0,17,5,4,5,1.471,580
2021-09-14T00:00:00.000Z,1,14,5,4,6,2.137,587
2021-09-15T00:00:00.000Z,0,18,5,3,8,3.435,583
2021-09-16T00:00:00.000Z,1,65,6,4,11,5.787,579
2021-09-17T00:00:00.000Z,0,27,3,1,7,5.897,574
2021-09-18T00:00:00.000Z,1,38,6,5,7,2.41,583
2021-09-19T00:00:00.000Z,2,289,6,5,9,20.342,581
2021-09-20T00:00:00.000Z,4,50,12,9,15,5.728,579
2021-09-21T00:00:00.000Z,5,115,14,12,16,6.96,576
2021-09-22T00:00:00.000Z,2,31,8,6,11,3.935,581
2021-09-23T00:00:00.000Z,0,40,9,3,19,9.291,585
2021-09-24T00:00:00.000Z,0,126,3,2,8,7.147,582
2021-09-25T00:00:00.000Z,0,65,4,3,6,5.496,582
2021-09-26T00:00:00.000Z,0,75,2,2,3,3.377,577
2021-09-27T00:00:00.000Z,4,40,16,10,19,5.687,568
